ID,fsq_center_dist
0,204
1,431
2,79
3,142
4,729
5,19
6,372
7,458
8,95
9,334
10,118
11,180
12,53
13,123
14,105
15,397
16,274
17,424
18,144
19,178
20,165
21,60
22,28
23,48
24,128
25,151
26,37
27,198
28,296
29,102
30,238
31,198
32,67
33,231
34,105
35,30
36,311
37,339
38,68
39,432
40,589
41,215
42,73
43,338
44,176
45,177
46,179
47,636
48,547
49,314
50,164
51,213
52,329
53,145
54,345
55,36
56,107
57,84
58,195
59,105
60,363
61,77
62,164
63,167
64,224
65,180
66,537
67,NA
68,110
69,NA
70,552
71,101
72,217
73,94
74,323
75,57
76,57
77,206
78,97
79,133
80,624
81,110
82,55
83,193
84,177
85,253
86,166
87,237
88,243
89,109
90,167
91,119
92,49
93,313
94,225
95,306
96,122
97,50
98,49
99,314
100,47
101,65
102,327
103,301
104,64
105,11
106,104
107,292
108,163
109,264
110,779
111,123
112,206
113,70
114,110
115,228
116,391
117,316
118,145
119,322
120,125
121,207
122,295
123,413
124,225
125,81
126,99
127,34
128,483
129,259
130,111
131,652
132,114
133,430
134,313
135,81
136,54
137,235
138,245
139,288
140,198
141,523
142,133
143,134
144,53
145,556
146,301
147,328
148,250
149,263
150,771
151,504
152,203
153,98
154,358
155,60
156,95
157,115
158,638
159,396
160,922
161,89
162,964
163,205
164,985
165,372
166,563
167,290
168,257
169,426
170,598
171,195
172,43
173,98
174,405
175,258
176,300
177,53
178,156
179,266
180,517
181,325
182,45
183,655
184,687
185,396
186,717
187,87
188,303
189,354
190,692
191,68
192,287
193,626
194,111
195,83
196,46
197,49
198,NA
199,NA
200,341
201,NA
202,177
203,18
204,222
205,141
206,198
207,79
208,548
209,80
210,123
211,201
212,264
213,239
214,285
215,195
216,256
217,128
218,332
219,87
220,123
221,43
222,194
223,716
224,41
225,22
226,170
227,246
228,251
229,63
230,151
231,227
232,400
